nombre,marca,precio_venta,genero,volumen_ml,concentracion,familia_olfativa,imagen_url,descripcion_corta
"22 HROS FEM","Unlock",29999,"Femenino",80,"EDP","Floral","https://cdn.shopify.com/s/files/1/0665/4456/6445/files/2_2_h_ro_s_fem_80ml_dfdeefbd-a661-4dfe-ad30-96d48cb34d7f.webp","Juventud en Estado Puro  Un perfume que celebra la juventud y la energía con una combinación de frutas exóticas y flores chispeantes. Las notas de salida de mandarina y frambuesa aportan dulzura, mientras que el corazón floral de jazmín y peonía le da una dimensión romántica. Ideal para mujeres jóvenes y dinámicas, perfecto para el día a día o eventos casuales.  Familia Olfativa: Floral-Frutal ..."
"SCNDL FEM","Unlock",25499,"Femenino",100,"EDP","Floral","https://cdn.shopify.com/s/files/1/0665/4456/6445/files/sc_nd_l_fem_100ml_95f42b4b-352f-4373-9824-e2a0dc8c2237.webp","Rebelde y Seductor  Este perfume es un manifiesto de confianza y provocación. Con notas de salida de mandarina y miel, su corazón de jazmín y flor de naranjo despierta los sentidos. La base de benjuí y pachulí añade un toque misterioso. Perfecto para las noches en la ciudad o cualquier ocasión donde quieras brillar.  Familia Olfativa: Oriental-Floral  Salida: Miel, Naranja Amarga, Cítricos Cora..."
"OLMPA","Unlock",22999,"Femenino",80,"EDP","Oriental","https://cdn.shopify.com/s/files/1/0665/4456/6445/files/ol_mp_a_80ml_57fceea5-74be-4420-b1eb-274aaeb277e5.webp","La Divina Femeninidad  Un perfume que encarna la fuerza y la elegancia. Con notas de salida de mandarina y jengibre, su corazón floral de jazmín y vainilla se complementa con una base de amber. Ideal para mujeres que buscan un aroma atractivo y seductor, perfecto para citas o eventos especiales.  Familia Olfativa: Floriental  Salida: Mandarina Verde, Jazmín de Agua, Flor de Jengibre Corazón: Va..."
"IDLE","Unlock",25999,"Femenino",75,"EDP","Floral","https://cdn.shopify.com/s/files/1/0665/4456/6445/files/id_le_75ml_-_2_3699e8c7-d536-43e7-b313-3aa3aa249684.webp","Empoderamiento Femenino  Un perfume que celebra el empoderamiento femenino con una combinación de flores blancas y almizcle. La rosa y el jazmín crean un corazón floral embriagador, mientras que las notas cítricas de salida añaden frescura. Ideal para mujeres que buscan una fragancia moderna y luminosa, perfecta para el día y eventos casuales.  Familia Olfativa: Floral-Chypré  Salida: Pera, Ber..."
"PUR S FEM","Unlock",25999,"Femenino",90,"EDP","Oriental","https://cdn.shopify.com/s/files/1/0665/4456/6445/files/pur___s_fem_90ml_-_3_14e8deb2-9d2f-46f3-84cc-58618650ffc7.webp","La Seducción en un Frasco  Esta fragancia es un viaje a la feminidad y la tentación. Con notas de salida de flor de azahar y mandarina, su corazón floral de jengibre y jazmín se complementa con una base dulce de vainilla y almizcle. Ideal para mujeres que buscan un aroma cautivador y envolvente, perfecto para noches de fiesta o citas románticas.  Familia Olfativa: Oriental  Salida: Almizcle Amb..."
"22 VP PRTY","Unlock",25999,"Femenino",80,"EDP","Floral","https://cdn.shopify.com/s/files/1/0665/4456/6445/files/2_2v_pp_rty80ml-2.png","Celebración de la Vida Nocturna  Este perfume frutal y festivo es una celebración de la vida nocturna. Las notas de salida de ron y maracuyá ofrecen un toque exótico, mientras que el corazón floral de gardenia le añade un carácter elegante. Ideal para mujeres que buscan un perfume audaz y divertido, perfecto para Noches de fiesta o eventos especiales. 212 VIP Rosé  Familia Olfativa: Floral  Sal..."
"RBNNE FME","Unlock",22799,"Femenino",80,"EDP","","https://cdn.shopify.com/s/files/1/0665/4456/6445/files/r_b_nne_f_me_80ml_-_2_3a98d756-598b-443c-ade2-ca16aaa22a32.webp","Sensualidad y Elegancia  Este perfume es una mezcla perfecta de flores y especias. Con notas de salida de flor de azahar y frutas rojas, su corazón de rosa y lirio se complementa con una base de almizcle y madera de sándalo. Ideal para mujeres que buscan un aroma sofisticado y seductor, perfecto para eventos formales.  Familia Olfativa: Floral-Frutal  Salida: Bergamota, Mandarina, Mango Corazón..."
"HALLOWN FEM","Unlock",27499,"Femenino",90,"EDP","Floral","https://cdn.shopify.com/s/files/1/0665/4456/6445/files/hallow_n_fem_90ml_-_3_b9aa6238-eaef-4366-9df9-ffc1ad5078d1.webp","Misterio y Encanto  Este perfume seductor y intrigante combina notas de frutas y flores para crear un aura de misterio. Con un corazón floral de jazmín y lirio, y una base cálida de madera de sándalo y almizcle. Ideal para ocasiones especiales y noches de fiesta, es perfecto para mujeres que buscan algo único.  Familia Olfativa: Floral  Salida: Bergamota, Jazmín, Tuberosa Corazón: Fresias, Mugu..."
"SCNDL FEM MINI","Unlock",16999,"Femenino",25,"EDP","Floral","https://cdn.shopify.com/s/files/1/0665/4456/6445/files/sc_nd_l_fem_100ml_95f42b4b-352f-4373-9824-e2a0dc8c2237.webp","Rebelde y Seductor  Este perfume es un manifiesto de confianza y provocación. Con notas de salida de mandarina y miel, su corazón de jazmín y flor de naranjo despierta los sentidos. La base de benjuí y pachulí añade un toque misterioso. Perfecto para las noches en la ciudad o cualquier ocasión donde quieras brillar.  Familia Olfativa: Oriental-Floral  Salida: Miel, Naranja Amarga, Cítricos Cora..."
"DVNE","Unlock",31199,"Femenino",100,"EDP","Floral","https://cdn.shopify.com/s/files/1/0665/4456/6445/files/UNLOCKDivine.png","Es la fragancia de una diva audaz, glamorosa y radiante. Es  un perfume dulce y floral, diseñado para la mujer que busca  destacar con elegancia y brillo en las noches más especiales  de otoño e invierno. Perfecta para citas románticas o fiestas  exclusivas, es el complemento ideal para quienes desean dejar  una impresión imborrable.  Familia Olfativa: Oriental-Floral SALIDA: Calipsone, Bergamo..."
